Value,State,state_code
51.01,"Alabama ",AL
24.23,"Alaska ",AK
51.31,"Arizona ",AZ
48.72,"Arkansas ",AR
48.97,"California ",CA
31.65,"Colorado ",CO
37.95,"Connecticut ",CT
44.21,"Delaware ",DE
44.54,"District of Columbia ",DC
61.5,"Florida ",FL
50.69,"Georgia ",GA
65.09,"Hawaii ",HI
33.29,"Idaho ",ID
41.18,"Illinois ",IL
41.65,"Indiana ",IN
37.67,"Iowa ",IA
42.72,"Kansas ",KS
44.25,"Kentucky ",KY
56.07,"Louisiana ",LA
32.53,"Maine ",ME
44.19,"Maryland ",MD
37.63,"Massachusetts ",MA
36.73,"Michigan ",MI
32.49,"Minnesota ",MN
52.26,"Mississippi ",MS
43.84,"Missouri ",MO
31.05,"Montana ",MT
37.82,"Nebraska ",NE
42.75,"Nevada ",NV
33.23,"New Hampshire ",NH
41.45,"New Jersey ",NJ
37.46,"New Mexico ",NM
38.34,"New York ",NY
47.21,"North Carolina ",NC
29.38,"North Dakota ",ND
40.79,"Ohio ",OH
48.17,"Oklahoma ",OK
40.11,"Oregon ",OR
39.29,"Pennsylvania ",PA
39.02,"Rhode Island ",RI
49.82,"South Carolina ",SC
33.78,"South Dakota ",SD
46.9,"Tennessee ",TN
54.16,"Texas ",TX
36.27,"Utah ",UT
32.96,"Vermont ",VT
44.26,"Virginia ",VA
40.76,"Washington ",WA
41.61,"West Virginia ",WV
34.44,"Wisconsin ",WI
29.22,"Wyoming ",WY